# $\sigma_8$ $n_\mathrm{s}$ $h$ $\Omega_\mathrm{b}$ $\Omega_\mathrm{m}$ $\zeta_\mathrm{UV}$ $T_\mathrm{vir}$ $E_0$ $L_\mathrm{X}$
8.760936747491360199e-01 9.945092803984880714e-01 6.535261108353733750e-01 4.729100320488214410e-02 2.623912747204303897e-01 2.841053815558552742e+01 4.469013845548033714e+00 6.502912184223532677e+02 3.937355122156441212e+01
7.866468961536884352e-01 9.223033241927623971e-01 6.840413696691394208e-01 5.787062203511595532e-02 3.242978893220424541e-01 2.650393726304173470e+01 4.655628092214465497e+00 1.129408584628254175e+03 4.022893537208437920e+01
7.505259694159031048e-01 9.707496593892575021e-01 6.300953793898225186e-01 4.314960513263940700e-02 3.828359360992908966e-01 2.112963245715945959e+01 4.319607971236109734e+00 8.062613532878458500e+02 4.051148356311023235e+01
8.223682253062725156e-01 9.435436833649873956e-01 7.205988731607794184e-01 5.138610458001494075e-02 2.810803650319576019e-01 3.428528921213001013e+01 4.505064031109213829e+00 3.853645524010062218e+02 3.990542754530906677e+01
8.537316267192364139e-01 9.673835012316703841e-01 6.936678769439458270e-01 5.351540481671690497e-02 3.061833196878433472e-01 3.082730569411069155e+01 4.379444661736488165e+00 8.770978337153792381e+02 4.076949295401573181e+01
7.643092431128024611e-01 9.595513286441564871e-01 6.640576235949993134e-01 4.164615128189325111e-02 3.680265530943870322e-01 2.517162211704999208e+01 4.595953930914402186e+00 4.562001795507967472e+02 3.963195718638598919e+01
8.178538377583026708e-01 9.886432560533284786e-01 7.020949552208185507e-01 5.703027701005339289e-02 3.492147654294968095e-01 2.211040080524981022e+01 4.428903894126415608e+00 6.076895744539797306e+02 3.910029448196291924e+01
8.897205267846584054e-01 9.358110645413398876e-01 6.125037768483161393e-01 4.750536356121301540e-02 2.472198793292045560e-01 3.151697129942476749e+01 4.646574306488036932e+00 1.086807793937623501e+03 4.048667010851204395e+01
8.989569373428821786e-01 9.776835780590772407e-01 7.103565996512770653e-01 4.066696139052509984e-02 3.380585008859634533e-01 3.322130534332245588e+01 4.371500058844685732e+00 9.465557693503797054e+02 4.094889791868627071e+01
8.083048580586910115e-01 9.455157548189163652e-01 6.208827522769569951e-01 5.385868459939956165e-02 2.761520203948020780e-01 2.006931069772690535e+01 4.553831121698022066e+00 5.236831493675708771e+02 3.959302466362714767e+01
7.745222954452037900e-01 9.964434683322906938e-01 6.850546697899698723e-01 4.980803402140736302e-02 2.973392981290817194e-01 2.734836623072624207e+01 4.420930344238877652e+00 5.400992877781391144e+02 3.918645303882658482e+01
8.425811435282231088e-01 9.292756652086973101e-01 6.555614613369107335e-01 5.534413784742354958e-02 3.990946981310844466e-01 2.925130501389503479e+01 4.604419599846005795e+00 1.017237394955009222e+03 4.029104502871632576e+01
8.312970305979252572e-01 9.804210843145847454e-01 6.365993577241897405e-01 5.946443587541579839e-02 3.742651779949665025e-01 3.259211338125169277e+01 4.479990316182375309e+00 6.952516003511846066e+02 3.941294153407216072e+01
7.406595806777477309e-01 9.326270363479852721e-01 7.269855213910341174e-01 4.506112666800618505e-02 3.124221168458461984e-01 2.318920499645173550e+01 4.694535737484693882e+00 1.172390567511320114e+03 4.004901164211332798e+01
7.971773193776607869e-01 9.641612891107798067e-01 6.469049443304538682e-01 5.094927877187728493e-02 2.509617085754871080e-01 2.434567513410001993e+01 4.330604328960180105e+00 7.633884005248546600e+02 4.070665090531110764e+01
8.652508349716663272e-01 9.513672597706318568e-01 6.773031591624021353e-01 4.420280965045094573e-02 3.529564617574215135e-01 2.999769660178571939e+01 4.543988601118326365e+00 3.405149205587804317e+02 3.981978782080113888e+01
8.630662937462330042e-01 9.622602313011885400e-01 6.240017723292111684e-01 5.663603646680712145e-02 2.893461485207080575e-01 2.331596071831882000e+01 4.663370834290981648e+00 8.014573375694453716e+02 3.955626517161726952e+01
7.949868558347225056e-01 9.543889921903609963e-01 7.135675372183323262e-01 4.852467816323041694e-02 3.873613332211971461e-01 3.266305054537951946e+01 4.461325365304946722e+00 3.243329700082540512e+02 4.091940184123814106e+01
7.484750728309154111e-01 9.835004162788391069e-01 6.605574465543031515e-01 5.265243334695696859e-02 3.260516412556171417e-01 2.963017864618450403e+01 4.512750408053397777e+00 7.394632335752248764e+02 4.032505793869495392e+01
8.391065432131290525e-01 9.306291591376066874e-01 6.901349765062332331e-01 4.188419681042433035e-02 2.678854142129420968e-01 2.403220190200954676e+01 4.311866183578968226e+00 1.162322113942354918e+03 3.921112733893096447e+01
8.453917433321476160e-01 9.996740914881229179e-01 7.241260622814297276e-01 4.291888397186994358e-02 2.429783052206039295e-01 2.092758349608629942e+01 4.585141794010996641e+00 5.571704442612826824e+02 4.008293276838958263e+01
7.773367004096507493e-01 9.274290785938501536e-01 6.335976127907633204e-01 5.224175198003649934e-02 3.412132737040519670e-01 3.402559063863009214e+01 4.390310683473944486e+00 9.800301980227231979e+02 3.943752451241016388e+01
