# $\sigma_8$ $n_\mathrm{s}$ $h$ $\Omega_\mathrm{b}$ $\Omega_\mathrm{m}$ $\zeta_\mathrm{UV}$ $T_\mathrm{vir}$ $E_0$ $L_\mathrm{X}$
8.321351280309259302e-01 9.827173722092062969e-01 6.683630554176867022e-01 4.817867636207491533e-02 2.890160190911963412e-01 2.841053815558552742e+01 4.469013845548033714e+00 6.502912184223532677e+02 3.937355122156441212e+01
7.985925860576331692e-01 9.448092452012002429e-01 6.836206848345697251e-01 5.267501436492428440e-02 3.172609120031818497e-01 2.650393726304173470e+01 4.655628092214465497e+00 1.129408584628254175e+03 4.022893537208437920e+01
7.850472385309636980e-01 9.702435711793602202e-01 6.566476896949111630e-01 4.641858218137175085e-02 3.439688958453014367e-01 2.112963245715945959e+01 4.319607971236109734e+00 8.062613532878458500e+02 4.051148356311023235e+01
8.119880844898521577e-01 9.559604337666183227e-01 7.018994365803897795e-01 4.991909444650635685e-02 2.975429165458306491e-01 3.428528921213001013e+01 4.505064031109213829e+00 3.853645524010062218e+02 3.990542754530906677e+01
8.237493600197136612e-01 9.684763381466269250e-01 6.884339384719729837e-01 5.082404704710469234e-02 3.089961396075784905e-01 3.082730569411069155e+01 4.379444661736488165e+00 8.770978337153792381e+02 4.076949295401573181e+01
7.902159661673009428e-01 9.643644475381821790e-01 6.736288117974996714e-01 4.577961429480463529e-02 3.372121148493140708e-01 2.517162211704999208e+01 4.595953930914402186e+00 4.562001795507967472e+02 3.963195718638598919e+01
8.102951891593634937e-01 9.796377094279975495e-01 6.926474776104092346e-01 5.231786772927269485e-02 3.286292367272078963e-01 2.211040080524981022e+01 4.428903894126415608e+00 6.076895744539797306e+02 3.910029448196291924e+01
8.372451975442468664e-01 9.519008088842034754e-01 6.478518884241580844e-01 4.826977951351553442e-02 2.820940699439495880e-01 3.151697129942476749e+01 4.646574306488036932e+00 1.086807793937623501e+03 4.048667010851204395e+01
8.407088515035807674e-01 9.738838784810155413e-01 6.967782998256385474e-01 4.536345859097316857e-02 3.235391910292207962e-01 3.322130534332245588e+01 4.371500058844685732e+00 9.465557693503797054e+02 4.094889791868627071e+01
8.067143217720090798e-01 9.569957712799310734e-01 6.520413761384784568e-01 5.096994095474481623e-02 2.952943593051284288e-01 2.006931069772690535e+01 4.553831121698022066e+00 5.236831493675708771e+02 3.959302466362714767e+01
7.940458607919513856e-01 9.837328208744525737e-01 6.841273348949848954e-01 4.924841445909813181e-02 3.049610547713935138e-01 2.734836623072624207e+01 4.420930344238877652e+00 5.400992877781391144e+02 3.918645303882658482e+01
8.195679288230836024e-01 9.484697242345661028e-01 6.693807306684553815e-01 5.160125858515501179e-02 3.513869560223072952e-01 2.925130501389503479e+01 4.604419599846005795e+00 1.017237394955009222e+03 4.029104502871632576e+01
8.153363864742219080e-01 9.753210692651570479e-01 6.598996788620948850e-01 5.335238524705171459e-02 3.400584874602034513e-01 3.259211338125169277e+01 4.479990316182375309e+00 6.952516003511846066e+02 3.941294153407216072e+01
7.813473427541554051e-01 9.502291940826922412e-01 7.050927606955170734e-01 4.723097883390262736e-02 3.118425908109173084e-01 2.318920499645173550e+01 4.694535737484693882e+00 1.172390567511320114e+03 4.004901164211332798e+01
8.025414947666227317e-01 9.667846767831593802e-01 6.650524721652268934e-01 4.973344347804785348e-02 2.838012795375660091e-01 2.434567513410001993e+01 4.330604328960180105e+00 7.633884005248546600e+02 4.070665090531110764e+01
8.280690631143748925e-01 9.600678113795817481e-01 6.802515795812010824e-01 4.686619410144165360e-02 3.303363856768235518e-01 2.999769660178571939e+01 4.543988601118326365e+00 3.405149205587804317e+02 3.981978782080113888e+01
8.272498601548373687e-01 9.657866214331239929e-01 6.536008861646055434e-01 5.215031549839303088e-02 3.013141802625730614e-01 2.331596071831882000e+01 4.663370834290981648e+00 8.014573375694453716e+02 3.955626517161726952e+01
8.017200709380208901e-01 9.616542208999395713e-01 6.983837686091661778e-01 4.870298821937293215e-02 3.460336082821712234e-01 3.266305054537951946e+01 4.461325365304946722e+00 3.243329700082540512e+02 4.091940184123814106e+01
7.842781523115932574e-01 9.769377185463905544e-01 6.718787232771515905e-01 5.045728417245671366e-02 3.180610613228753158e-01 2.963017864618450403e+01 4.512750408053397777e+00 7.394632335752248764e+02 4.032505793869495392e+01
8.182649537049233590e-01 9.491803085472434454e-01 6.866674882531166313e-01 4.588078364443034379e-02 2.915227202346548641e-01 2.403220190200954676e+01 4.311866183578968226e+00 1.162322113942354918e+03 3.921112733893096447e+01
8.206219037495553481e-01 9.854288980312645441e-01 7.036630311407149341e-01 4.632052568804472664e-02 2.801588517569005288e-01 2.092758349608629942e+01 4.585141794010996641e+00 5.571704442612826824e+02 4.008293276838958263e+01
7.951012626536190231e-01 9.475002662617713067e-01 6.583988063953816194e-01 5.028274459151551440e-02 3.249785561274737278e-01 3.402559063863009214e+01 4.390310683473944486e+00 9.800301980227231979e+02 3.943752451241016388e+01
8.040182913340627735e-01 9.729653308022767622e-01 6.778870206125080511e-01 4.774858051251620189e-02 3.345759281583130518e-01 2.861921753734350204e+01 4.635705810412765082e+00 9.557350169867277145e+02 3.978287597186863422e+01
8.380142551533877882e-01 9.586616887845098578e-01 6.626132583789526853e-01 5.283945386616513418e-02 3.080754158731550119e-01 2.677215453237295151e+01 4.439716602489352404e+00 4.786097760312259197e+02 4.067700200900435448e+01
8.343148511148988922e-01 9.780146512988955321e-01 6.820179169237613470e-01 4.936873249329627039e-02 3.477405392669141171e-01 2.508148368913680315e+01 4.564691325277090428e+00 6.196016611531376839e+02 4.013739872723817825e+01
8.073661623768508822e-01 9.529432858847082244e-01 6.668026771381496687e-01 4.696531358772888798e-02 3.030210506033152451e-01 3.067579832393676043e+01 4.360682103782892227e+00 1.040484735835343599e+03 3.927377507649362087e+01
7.910356215260923030e-01 9.694884927742183356e-01 6.993563532441854358e-01 5.318690111853182495e-02 2.943693711824715287e-01 3.186250609345734119e+01 4.615238506346940994e+00 8.951715026982128620e+02 3.999409553781151772e+01
8.245703278727829488e-01 9.627921369824559150e-01 6.541507939979434028e-01 4.766212146395817917e-02 3.209077908631414178e-01 2.251907837577164173e+01 4.410068046301603317e+00 4.160678626969456673e+02 4.060656000114977360e+01
8.146845744796097355e-01 9.711710908696055133e-01 6.751306401364505216e-01 4.881623429471627224e-02 3.323964160161093084e-01 2.574089696630835533e+01 4.686841059103608487e+00 8.534530179575085640e+02 3.972047234512865543e+01
7.877413717530667991e-01 9.543034885864705164e-01 6.898608831115067286e-01 5.176778037466109317e-02 2.875766335969790477e-01 2.758429786190390587e+01 4.487726860120892169e+00 3.743485380895435810e+02 4.086441705003380775e+01
7.975390671066939774e-01 9.810097595643252344e-01 6.502903754435479522e-01 4.526330157035961949e-02 3.143539735080674302e-01 3.483683553989976645e+01 4.536252631619572817e+00 6.895549287088215351e+02 4.039504215680062771e+01
8.310792737700044563e-01 9.457671673730015938e-01 6.950145928360521586e-01 5.133568960048258412e-02 3.408545469811186113e-01 2.174249050673097372e+01 4.338296524062752901e+00 1.110438843257725239e+03 3.900042653828859329e+01
8.298726737745105719e-01 9.709132495470345070e-01 6.854617133162915765e-01 5.298129669243470397e-02 2.826743165023624660e-01 2.270248645916581154e+01 4.520165346190333722e+00 1.054758794233202934e+03 4.089404062554240227e+01
7.968083231769502728e-01 9.566096077639609785e-01 6.702426934041082474e-01 4.787252477921545568e-02 3.268902655180543348e-01 3.210447931662201881e+01 4.305217048153281212e+00 6.336414034478366375e+02 3.950740570016205311e+01
7.870622143022716344e-01 9.820643583167344426e-01 6.962385919861495687e-01 5.015857331866398899e-02 3.366296337090432522e-01 3.047777125146239996e+01 4.669142353162169634e+00 4.302483673207461834e+02 3.922482699155807495e+01
8.135437516368925204e-01 9.441357263125479404e-01 6.510292597658932090e-01 4.617897465445101185e-02 3.107373497497290527e-01 2.482483425643295050e+01 4.456160957738757311e+00 9.091468703001737595e+02 4.036213378421962261e+01
8.252497235931456343e-01 9.803022649105638253e-01 6.642747307926416545e-01 4.602155644811690288e-02 2.992264444531873013e-01 2.148598328698426485e+01 4.628252772986888530e+00 3.603465612977743149e+02 3.949810270778834820e+01
7.921762105695903111e-01 9.525448543637990984e-01 6.790087467417120770e-01 5.058223361188546319e-02 3.434090028276667317e-01 3.463889345992356539e+01 4.446324491500854847e+00 8.392441908828914165e+02 4.010438770055770874e+01
8.085729818664491031e-01 9.678387060523033769e-01 6.609960165977477597e-01 4.857774692393839605e-02 3.155796181337907624e-01 2.782618441618978977e+01 4.579219165444373907e+00 1.096425710152834654e+03 4.063601988740265369e+01
8.350453710801899465e-01 9.637063060667365733e-01 7.057240141168237280e-01 5.200976963752881183e-02 2.895736737197264765e-01 2.592416116036474705e+01 4.395327128469944000e+00 6.753091927617788315e+02 3.978089503571391106e+01
8.392140097044408220e-01 9.830592359587549955e-01 6.576268417187034476e-01 5.119530589591712172e-02 3.297378194632008541e-01 2.376136537175625563e+01 4.620399672165513394e+00 3.101687480695545673e+02 3.928741719573736191e+01
8.047559370346367702e-01 9.478166436892002666e-01 7.024135042898357328e-01 4.513822243122384004e-02 2.855218098035082197e-01 2.941796447616070509e+01 4.404293285682797432e+00 7.875274317339062691e+02 4.017453979514539242e+01
7.957735326386987662e-01 9.745331084918230635e-01 6.674681247569620446e-01 5.189263257097453258e-02 3.124433736579492749e-01 3.294850774109363556e+01 4.571349425986409365e+00 1.148251445777714252e+03 4.058114193752408028e+01
8.217695577315985433e-01 9.576655062869191548e-01 6.822606627069413010e-01 4.895690985528752120e-02 3.383357362097129117e-01 2.354285277426242828e+01 4.353276130929589094e+00 7.255977024324238300e+02 3.994530060328543186e+01
8.175933761768042762e-01 9.661264711622148393e-01 6.919905804827809481e-01 4.752066773680970607e-02 3.496862397558987423e-01 2.699890269897878170e+01 4.531233324855565847e+00 9.939223383553326130e+02 4.082336976565420628e+01
7.831298031903803913e-01 9.594301157616078601e-01 6.467225827634334179e-01 5.306282715212554124e-02 3.055036033328622502e-01 2.890458806417882442e+01 4.344216290861368179e+00 5.712694348767399788e+02 3.971854900196194649e+01
8.005209972210228786e-01 9.759651688806713077e-01 6.896511311814188527e-01 4.708909576145932363e-02 2.969928583942353928e-01 3.381346146110445261e+01 4.680242515355348409e+00 4.925130726769566536e+02 3.906094025634229183e+01
8.265115363024174711e-01 9.508938030753284476e-01 6.743735888212919471e-01 4.951041322659701510e-02 3.229988639961928198e-01 2.065688917879015207e+01 4.495189242810011088e+00 9.698709164746105671e+02 4.041655399650335312e+01
8.292061845086514671e-01 9.775907565340400396e-01 7.002228954046965104e-01 4.841123324066400752e-02 3.063726795904338496e-01 2.896547588519752026e+01 4.312905618548392717e+00 5.098348111845552921e+02 4.020742331631481647e+01
8.032169722266495615e-01 9.498538559120148772e-01 6.554824276253580217e-01 5.244194169567897856e-02 3.351210515063255957e-01 2.712115946225821972e+01 4.512422700226307093e+00 9.324748283252120018e+02 3.931303777918219566e+01
7.820744639135897014e-01 9.651169239770621688e-01 6.810085453450679394e-01 4.565583212107419964e-02 3.266835264481603995e-01 2.034046194050461054e+01 4.463903032243251801e+00 1.003290349803864956e+03 3.990735116414725780e+01
8.165393422417343006e-01 9.610050334468484001e-01 6.662583898738025923e-01 5.068236631380394069e-02 2.796114900197833597e-01 3.343389144632965326e+01 4.661456257104873657e+00 5.259453923441469669e+02 4.055253063142299652e+01
8.188410459332168267e-01 9.736029888693243928e-01 6.490429631792008491e-01 5.005947815107181925e-02 2.909265939222648867e-01 3.021036937367171049e+01 4.435458188876509666e+00 1.186516140494495630e+03 3.968075190484523773e+01
7.928426712252200081e-01 9.593198518477380476e-01 6.942395962573587598e-01 4.654366132050753030e-02 3.197797151600941801e-01 2.461697026621550322e+01 4.639064623042941093e+00 7.091720363125205040e+02 4.079491129331290722e+01
8.055774198718368417e-01 9.847643315963446886e-01 6.757591487638652250e-01 5.255016216861084499e-02 3.466275000127032602e-01 2.296185601502656937e+01 4.384514323994516793e+00 3.546241840347647667e+02 4.044952931627631187e+01
8.400331500791012873e-01 9.468562041971833043e-01 6.909618002720177010e-01 4.803800080150365942e-02 2.995977653583511424e-01 3.230619926005601883e+01 4.590087571367621244e+00 7.772633478976786137e+02 3.908665214665234089e+01
8.361011734850704036e-01 9.688392812259495335e-01 6.723900426164268751e-01 4.672542129775509451e-02 3.425399578439071724e-01 3.448277269024401903e+01 4.415111524611711857e+00 1.143366812914609909e+03 3.959500533901154995e+01
8.096265562497079182e-01 9.621224160570651662e-01 6.876512161254882960e-01 4.960849403861910395e-02 3.137916471159085674e-01 2.138568107504397631e+01 4.609539758414030075e+00 6.644820495508611202e+02 4.098988024145364761e+01
7.894820147626101514e-01 9.786882127452641855e-01 6.522362881883978503e-01 4.735622012933716346e-02 2.858890055568888977e-01 2.632112999446690083e+01 4.364138527959585012e+00 3.994214876554906368e+02 4.026959029771387577e+01
8.225532926119863975e-01 9.535963373281061140e-01 6.974915863186120779e-01 5.349293110791594058e-02 3.329609639367088758e-01 2.816910852678120136e+01 4.560530612617730739e+00 8.205251388251781464e+02 3.912587458267807961e+01
8.127227283515036094e-01 9.803656715270132604e-01 6.767604633219539423e-01 5.145941575888544894e-02 3.214854604594409304e-01 3.127545667812228203e+01 4.336479653790592970e+00 4.419647164642810822e+02 4.001193553581833839e+01
7.862426107995211799e-01 9.451025743395090606e-01 6.619517854027450188e-01 4.912447019239887802e-02 2.926324178140610188e-01 2.192745132371783257e+01 4.538927904143929659e+00 8.630675076507031918e+02 3.939924208261072636e+01
7.997372909508645433e-01 9.718292698919773764e-01 7.044123840130865899e-01 5.109411222759634164e-02 3.024455976404249458e-01 2.542781462427228689e+01 4.487496757879853249e+00 1.072588640358299017e+03 3.986864749342203140e+01
8.328030827887356047e-01 9.549411632385105264e-01 6.596132507346570417e-01 4.550500962456688336e-02 3.494752716507762980e-01 3.102487584110349417e+01 4.687978200986981925e+00 5.937047369778156281e+02 4.073201186023652554e+01
8.334151167295872353e-01 9.674375440705568208e-01 7.053511625885963143e-01 4.968600788425654724e-02 3.275118507530540013e-01 3.250692508183419704e+01 4.632312686741352437e+00 5.372571763582527637e+02 4.035322681255638599e+01
7.989522375412285715e-01 9.633664994038642071e-01 6.605495087042450031e-01 4.678444888202473728e-02 2.833270210839807790e-01 2.316258183680474758e+01 4.442378172278404591e+00 1.014390675164759159e+03 3.924743063375353813e+01
7.863428571321070537e-01 9.799012114353478076e-01 6.795719204455613616e-01 5.357109345208853346e-02 3.100355621438473652e-01 2.432102250400930643e+01 4.581309312582016346e+00 9.218152502551674843e+02 3.952826745621860027e+01
8.123340757064521078e-01 9.522051770169287499e-01 6.647653058156370864e-01 4.741537741331383615e-02 3.360393048815429329e-01 2.991442161146551371e+01 4.393314145505428314e+00 4.989611861295998096e+02 4.088290444016456604e+01
8.231570930652319928e-01 9.817478720307351026e-01 6.512995791606605023e-01 4.916666923968121550e-02 3.429300653358921536e-01 3.325331437867134809e+01 4.516193021461367252e+00 7.674835276789963245e+02 3.975465980172157288e+01
7.886996998883784027e-01 9.438805911209434685e-01 6.965532713182270852e-01 5.155382299136370555e-02 2.987162483783438738e-01 2.015988487284630537e+01 4.309254115447402000e+00 3.446286136284470558e+02 4.064080698601901531e+01
8.097167255230247607e-01 9.705967148359865293e-01 6.695769875667989535e-01 4.554785717038437737e-02 2.901328135823830756e-01 2.744091808795928955e+01 4.667155339941382763e+00 7.196040624752640724e+02 4.011085469648241997e+01
8.357134444139897589e-01 9.563544433921575827e-01 6.848393097318709044e-01 5.118864915978163510e-02 3.160274384545162518e-01 2.928523451089859009e+01 4.458273939415812848e+00 1.196738411206752062e+03 3.947403660602867603e+01
8.394275176770984448e-01 9.763636485528200959e-01 6.729460911437868953e-01 5.249707828873768911e-02 2.850428723117336416e-01 3.097840928006917238e+01 4.533250235766172587e+00 8.316167671233415604e+02 3.996543731354176998e+01
8.063542406879364854e-01 9.512309272721409803e-01 6.881498908609151588e-01 4.848537489391863825e-02 3.292276233883574821e-01 2.538134806323796511e+01 4.342130059748887660e+00 4.107419687323272228e+02 4.057074605673551559e+01
7.927506717912853329e-01 9.665250799939036908e-01 6.481062569454312250e-01 5.073711380774155455e-02 3.388948760723695108e-01 2.231814906932413578e+01 4.684180364757776438e+00 6.536031740717589855e+02 4.016588580049574375e+01
8.192232827343046697e-01 9.597673486214131078e-01 6.933012836039066373e-01 4.572906587637961401e-02 3.128911939786747087e-01 3.166615442372858524e+01 4.491120847314595821e+00 1.132712485268712044e+03 3.930978311970829964e+01
8.159291402496396950e-01 9.748521969787776742e-01 6.838200036980212060e-01 4.663417756177485468e-02 3.061251885678619167e-01 2.821008907631039619e+01 4.618290594592690645e+00 5.837039027363061905e+02 4.042374553158879280e+01
